filename	title	document_type	classification	security_level	date	origin_agency	sender	recipient	summary
104-10003-10041	Clipping of article "The Kennedy Murder and the Secret Services of the USA"	Routing and Record Sheet	Administrative	SECRET	1964-03-26	WE/4/INT	Arthur P. Iorio	CI Staff Birch O'Neil	Routing sheet regarding an article titled 'The Kennedy Murder and the Secret Services of the USA' from the Italian Communist Party weekly Rinascita, which references rumors suggesting the Agency organized President Kennedy's murder.
104-10004-10143 (C06932208)	DISCUSSION BETWEEN MEMBER SR DIVISION CONCERNING OSWALD'S STAY IN HELSINKI.	Textual Document	JFK	SECRET	1964-06-01	CIA	CIRA/PS	SX-25605	Discussion between a member of the SR Division and CoS Helsinki concerning Oswald's stay in Helsinki, including his contact with the Soviet Consulate there. The document includes information about the timetable of Oswald's stay in Finland in October 1959, travel times, and passenger list retention policies.
104-10004-10143	DISCUSSION between members SR Division, and CoS Helsinki concerning timetable OF OSWALD'S stay in Finland and Helsinki	Memo	Oswald	UNCLASSIFIED	1964-06-01	CIA	Lee H. Wigren, C/SR/CI/R	Record	Memo for the record documenting a discussion between SR Division members and the CoS Helsinki concerning the timetable of Lee Harvey Oswald's stay in Finland and Helsinki in October 1959, including his contact with the Soviet Consulate. The discussion includes details on travel times, consulate hours, and airport passenger list retention policies.
104-10004-10156	MEMO FOR THE RECORD	Memo	Commission	UNCLASSIFIED	1964-06-01	CIA	Unknown	RECORD	Memo for the record regarding Warren Commission inquiry concerning the timetable of Oswald's stay in Finland in October 1959, including his contact with the Soviet Consulate there.
104-10004-10213	Discussion with Warren Commission Staff Member	Memorandum	Commission	SECRET	1964-07-09	CIA	Lee H. Wigren	Record	Memorandum regarding a discussion with Warren Commission staff member W. David Slawson concerning inconsistencies between CIA and State Department information on Soviet emigration policies and the Oswalds' departure from the USSR.
104-10005-10321	KIGREST TRACES JOACHIM JOESTER	Cable	Personnel	SECRET	1964-09-30	CIA	SECRETARTDAT	BONN, FRANKFURT, BERLIN, COPENHAGEN, REYKJAVIK, PARIS, STOCKHOLM DIRECTOR THE HAGUE BRUSSELS	This cable discusses Joachim Joesten, a writer with possible ties to communist organizations and anti-KUBARK sentiments. It requests a thorough check of his background, writings, and possible connections, including his fiancee Anna Schinsky. The matter is of interest to the Warren Commission.
104-10006-10247	Name Check and Consolidation Request for Roman Fedorovich D'EDKOV and Vilasa Nikolaevna D'EDKOV	Name Check and Index Request	Personnel	SECRET	1964-08-10	CIA	(Requesters name)	RID/INDEX	Request to check records for Roman Fedorovich D'EDKOV and Vilasa Nikolaevna D'EDKOV, applicants for entry visas to India, with Roman scheduled to be an English teacher at the Soviet Embassy in New Delhi.
104-10007-10345	Warren Commission Testimony - Selected Excerpts	Dispatch	Administrative	UNCLASSIFIED	1964-12-24	CIA	Chief, CI/R&A	Chiefs of all Stations, Chief, KUDOVE	This dispatch transmits excerpts from Warren Commission testimony to various CIA stations and headquarters divisions, focusing on Presidential protection and interagency cooperation. It instructs officers in senior positions to review the material.
104-10009-10021	Field and HQS Distribution - BD #5847	Distribution List	Administrative	SECRET	1992-10-26	CIA	Unknown	Field and HQS Divisions	This document is a distribution list of field and headquarters divisions.
104-10009-10222	Letter regarding Warren Commission document CD-971	Letter	Liaison	SECRET	1968-11-26		Richard Helms, Director (DCI)		Letter from Richard Helms to Sir Charles C. F. Spry regarding the declassification of Warren Commission document CD-971. Helms mentions that there is no intention to release CD-971 and that Spry's points provide every reason to keep the document out of the public domain.
104-10012-10022	Valeriy Vladimirovich Kostikov Activities	Memo	Soviet	SECRET	1982-05-21	CIA	David H. Blee	Anthony C. M. DeVere	This memo discusses Valeriy Vladimirovich Kostikov's activities, including his tours in Mexico City, attempts to cultivate a U.S. Government employee, handling Lee Harvey Oswald's visa request, and alleged involvement with Central American communist parties. It also mentions his unusual trips to Moscow and Havana, his sudden departure from Mexico, and his reputation as an effective intelligence officer.
104-10012-10024	VALERIY VLADIMIROVICH KOSTIKOV	Memo	Oswald	UNCLASSIFIED	1982-05-10	British Intelligence	A C M de Vere	David	This memo discusses Valeriy Vladimirovich Kostikov, a KGB officer who may have been involved with Lee Harvey Oswald in Mexico City. It requests information on Kostikov's activities in Mexico and Beirut, as well as his potential involvement in recent threats and violence against the Embassy in Beirut.
104-10012-10035	Correspondence regarding Sergyj Czornonoh's claims about Lee Harvey Oswald	Correspondence	Liaison	CONFIDENTIAL	1978-03-30	MI-6	DH Jones for GML Blackburne-Kane	Art Stimson	This document contains correspondence regarding Sergyj Czornonoh's claims about providing information on Lee Harvey Oswald to US officials in 1963 and his allegations of subsequent harassment and drugging.
104-10012-10076	Field Distribution	Field Distribution List	Distribution	Unclassified	Unknown	Unknown	Unknown	Various Divisions and Offices	This document lists the distribution of materials to various divisions and locations, including WH Division, NE Division, BD, EUR Division, FE Division, SB Division, and internal distributions.
104-10012-10078	Letter for Director from Sir Charles Spry (ASIO)	Memorandum	Administrative	SECRET	1968-11-20	Far East Division	Chief Far East Division	Director of Central Intelligence	This document concerns the declassification of Warren Commission document CD-971, which refers to an investigation of anonymous telephone calls to the Canberra Embassy before and after the assassination of President Kennedy. Sir Charles Spry recommends against declassification.
104-10012-10079	Letter re: Declassification of Warren Commission Document CD-071	Letter	Liaison	SECRET	1968-11-26		Richard Helms	Sir Charles C. F. Spry	Letter from Richard Helms to Sir Charles C. F. Spry regarding the declassification of Warren Commission document CD-071.
104-10014-10051	RELEASE OF CLASSIFIED DOCUMENT	Cable	John F. Kennedy Assassination Records Act of 1992	SECRET	1996-02-08	STAFF	C/EUR/NOR	IMMEDIATE DIRECTOR	This document discusses the release of a classified document related to Lee Harvey Oswald. It mentions a fax received that appears incomplete, including a cover sheet, a cable stating "NO TRACES," and the first page of a Director cable requesting traces on Lee Harvey Oswald. The document also discusses the deletion of crypts and informing the ambassador and liaison service chiefs about the release date.
104-10014-10064	KGB Official Nikonov	Cable	Soviet	SECRET	1991-11-20	STAFF	ST PETERSBURG	MOSCOW INFO DIRECTOR	Cable discusses KGB Official Nikonov, grandson of Vyacheslav Molotov, and his new role as Deputy to KGB Director Bakatin. Nikonov reviewed KGB files on Lee Harvey Oswald and found no evidence of Oswald being a KGB agent. Nikonov also inquired into the fate of Raoul Wallenberg.
104-10016-10021	DIR INFO CNBR CITE MELB 2517	Classified Message	Operations	SECRET	1963-12-02	CIA	MELBOURNE	DIRECTOR	Cable regarding preliminary checks on recorded conversations revealing information about a dark blue Buick, license plates, and individuals mentioned in previous communications. Mentions arrangements with PMG Liasion Officer Ted Young to trace further calls.
104-10023-10087	The 201 System	Handbook Annex	Administrative	SECRET	1974-11-15	CIA	ISG	DDO/RMO	This document is Annex B of Chapter III from CSHB 70-1-1, dated November 15, 1974, which details the 201 system used by the Operations Directorate for identifying, controlling, and filing information about persons of interest. It outlines the 201 number, dossier, master record, main index reference, and OI codes. The document also describes procedures for opening, maintaining, purging, charging, restricting, and canceling 201 dossiers, as well as requesting information and machine listings.
104-10048-10124	CIA Special Collection: Report on JMWAVE's Relationship with ANCARBON-1	Dispatch	Operations	SECRET	1964-03-19	CIA	COS, Andrew K. REUTEMAN	Chief, SAS	This dispatch details JMWAVE's relationship with AMCARBON-1, a contact at The Miami Herald, from December 1962 to March 1964. It covers the operational support, intelligence, and propaganda activities involving AMCARBON-1, and requests a 201 number be assigned.
104-10048-10252	Delegates to Youth Festival in Berlin	Report	Liaison	CONFIDENTIAL	1962-01-29	BOGOTA	BOGOTA	Washington, Caracas, Guatemala City, Havana, Quito, Maracaibo, Guayaquil	Report from Bogota regarding delegates to the Youth Festival in Berlin, August-September 1961. Information obtained from a local detective, who received a report from an informant in Paris concerning activities of the Colombian delegation and other countries' delegates. Includes names and comments on delegates from Guatemala, Venezuela, Ecuador, and Cuba.
104-10049-10362	Highlights of Tape-Recorded Conversation in Miami Between Mr. William D. Pawley and an Unidentified Cuban during Period 17-18 October	Memorandum	Cuba	SECRET	1959-10-20	WH/III/CARIB	Martha Tharpe	RECORD	William Pawley discusses with an unidentified Cuban the possibility of U.S. support for anti-Castro groups, their need for moral backing and funds, and the fragmented state of the Cuban resistance.
104-10049-10375	GENERAL- Operational. SPECIFIC PAWLEY Business Interests in the Dominican Republic	Dispatch	Operations	SECRET	1958-06-12	Chief of Station, Ciudad Trujillo	Edward F. STONESET	Chief, WHD	Dispatch regarding William D. PAWLEY's business interests in the Dominican Republic, including mineral exploitation, purchase of Hotel Hamaca, and a concession for Dominican postage stamps managed by Edward P. PAWLEY.
104-10051-10106	THE LEE HARVEY OSWALD CASE #351164	Memorandum	Security	UNCLASSIFIED	1954-01-29	CIA	M. D. Stevens	Files	This memo discusses the involvement of Abram Chayes and Samuel Wise in the Lee Harvey Oswald case, including their roles in Oswald's return to the United States from the Soviet Union, Chayes' security clearance for liaison contact, and Wise's past association with individuals of questionable loyalty.
